source,target,value
15010,16003,89
15010,16004,52
15010,17002,22
15010,17003,32
15010,17004,32
15010,17006,30
15010,21002,24
15010,21005,13
15010,21007,339
15010,21008,25
15010,21009,101
15010,21010,15
15010,21011,9
15010,21012,15
15010,21014,25
15010,22003,16
15010,22005,22
15010,22013,6
15010,22014,16
15010,23001,7
15010,23005,18
15010,23008,38
15010,23011,35
15010,23012,5
15010,23015,25
15010,23016,193
15010,23031,46
15010,24018,4
15010,26002,6
15010,26017,10
15010,29004,30
15010,29018,8
15010,31001,20
15011,11001,8
15011,13007,88
15011,14001,60
15011,15001,7
15011,15002,26
15011,15003,10
15011,15004,6
15011,15005,228
15011,15006,38
15011,15007,11084
15011,15008,475
15011,15009,82
15011,15010,44
15011,15011,3868
15011,15012,752
15011,15013,117
15011,15014,53
15011,15015,165
15011,15016,1892
15011,15017,33
15011,15019,25
15011,15020,23
15011,15021,10
15011,15022,18
15011,16001,9
15011,16003,143
15011,17003,40
15011,21002,9
15011,21005,20
15011,21007,18
15011,21009,40
15011,21010,21
15011,21012,3
15011,23002,1
15011,23016,17
15011,28001,13
15011,29021,20
15012,11001,32
15012,11007,28
15012,13007,8
15012,14001,8
15012,14004,34
15012,15002,116
15012,15003,12
15012,15006,37
15012,15007,4458
15012,15008,578
15012,15009,50
15012,15010,173
15012,15011,1042
15012,15012,3535
15012,15013,279
15012,15014,9
15012,15015,328
15012,15016,471
15012,15017,667
15012,15018,36
15012,15019,139
15012,15020,33
15012,15021,121
15012,16003,73
15012,16004,70
15012,17003,43
15012,17006,12
15012,21002,6
15012,21008,19
15012,21009,45
15012,21010,11
15012,23009,40
15012,23011,5
15012,23016,4
15012,23019,25
15012,23024,10
15012,23029,4
15012,24001,8
15012,26003,7
15012,29021,11
15013,11001,16
15013,12004,5
15013,13001,2
15013,13007,114
15013,14001,89
15013,14002,10
15013,14003,6
15013,15002,116
15013,15003,27
15013,15005,15
15013,15006,13
15013,15007,7970
15013,15008,2892
15013,15009,1200
15013,15010,3352
15013,15011,179
15013,15012,2298
15013,15013,7953
15013,15014,86
15013,15015,263
15013,15016,1098
15013,15017,3428
15013,15018,127
15013,15019,128
15013,15020,130
