lot,lat,output,iata,city,
-44.119164,-18.325279,276,3142502,Monjolos,
-45.541111,-21.7575,250,3142601,Monsenhor Paulo,
-44.365555,-14.422778,567,3142700,Montalvânia,
-48.880833,-18.870556,717,3142809,Monte Alegre de Minas,
-42.874722,-15.155,838,3142908,Monte Azul,
-46.367496,-21.326389,591,3143005,Monte Belo,
-47.498611,-18.724722,2479,3143104,Monte Carmelo,
-41.25528,-16.865833,324,3143153,Monte Formoso,
-46.980278,-21.189722,712,3143203,Monte Santo de Minas,
-46.572498,-22.432499,13768,3143401,Monte Sião,
-43.861664,-16.735001,478,3143302,Montes Claros,
-42.497223,-15.171945,113,3143450,Montezuma,
-45.356667,-18.604445,584,3143500,Morada Nova de Minas,
-44.602497,-18.546944,160,3143609,Morro da Garça,
-43.376389,-19.215557,274,3143708,Morro do Pilar,
-46.360554,-22.613056,192,3143807,Munhoz,
-42.366386,-21.130556,2684,3143906,Muriaé,
-41.438335,-19.799999,1315,3144003,Mutum,
-46.525555,-21.375834,607,3144102,Muzambinho,
-42.248611,-18.459167,184,3144201,Nacip Raydan,
-40.353886,-17.839167,1744,3144300,Nanuque,
-42.328331,-19.230278,559,3144359,Naque,
-46.493332,-16.504168,276,3144375,Natalândia,
-45.511665,-22.120001,170,3144409,Natércia,
-44.611389,-21.216389,699,3144508,Nazareno,
-45.235832,-21.235834,1251,3144607,Nepomuceno,
-41.753613,-15.321111,67,3144656,Ninheira,
-41.016666,-18.475,189,3144672,Nova Belém,
-43.037498,-19.75,1671,3144706,Nova Era,
-43.846664,-19.985556,2597,3144805,Nova Lima,
-41.501389,-18.437222,258,3144904,Nova Módica,
-47.674725,-19.1525,572,3145000,Nova Ponte,
-43.300556,-15.8025,198,3145059,Nova Porteirinha,
-46.42028,-21.126112,270,3145109,Nova Resende,
-44.983612,-19.876112,3270,3145208,Nova Serrana,
-43.57972,-19.689999,1099,3136603,Nova União,
-41.875275,-17.468056,403,3145307,Novo Cruzeiro,
-41.215279,-17.415277,109,3145356,Novo Oriente de Minas,
-42.40778,-16.017221,295,3145372,Novorizonte,
-43.937222,-21.860834,280,3145406,Olaria,
-43.573334,-17.396944,91,3145455,Olhos-d'Água,
-45.263889,-22.06778,1776,3145505,Olímpio Noronha,
-44.827221,-20.696388,118,3145604,Oliveira,
-43.45639,-21.33889,296,3145703,Oliveira Fortes,
-44.80722,-19.730278,250,3145802,Onça de Pitangui,
-42.805553,-20.430555,278,3145851,Oratórios,
-42.209999,-20.50639,1366,3145877,Orizânia,
-43.691944,-20.520834,868,3145901,Ouro Branco,
-46.368889,-22.283054,3676,3146008,Ouro Fino,
-43.508057,-20.2875,655,3146107,Ouro Preto,
-41.269722,-18.070557,178,3146206,Ouro Verde de Minas,
-42.515278,-16.364445,1594,3146255,Padre Carvalho,
-41.484444,-17.074167,483,3146305,Padre Paraíso,
-43.065277,-15.516666,598,3146552,Pai Pedro,
-45.531666,-18.908333,231,3146404,Paineiras,
-45.661392,-20.370556,122,3146503,Pains,
-43.415836,-21.289165,347,3146602,Paiva,
-42.314167,-21.375,313,3146701,Palma,
-40.420002,-16.735001,954,3146750,Palmópolis,
-44.74778,-19.449165,2611,3146909,Papagaios,
-44.608334,-19.860279,2584,3147105,Pará de Minas,
-46.874722,-17.222223,503,3147006,Paracatu,
-45.737499,-21.547222,630,3147204,Paraguaçu,
-45.779999,-22.554167,1371,3147303,Paraisópolis,
-44.404167,-19.274445,65,3147402,Paraopeba,
-44.966667,-22.390278,377,3147600,Passa Quatro,
-44.495556,-20.650555,492,3147709,Passa Tempo,
-44.234444,-22.209446,47,3147808,Passa-Vinte,
-43.136391,-19.353334,2870,3147501,Passabém,
-46.609722,-20.718889,198,3147907,Passos,
-44.081944,-16.076389,6201,3147956,Patis,
-46.518055,-18.57889,4182,3148004,Patos de Minas,
-46.9925,-18.943888,110,3148103,Patrocínio,
-42.214722,-21.1525,715,3148202,Patrocínio do Muriaé,
-42.980278,-20.874166,227,3148301,Paula Cândido,
-42.868332,-18.4275,520,3148400,Paulistas,
-40.99889,-17.427776,1294,3148509,Pavão,
-42.556942,-18.548611,2020,3148608,Peçanha,
-41.297222,-16.005278,284,3148707,Pedra Azul,
-42.329998,-20.520555,482,3148756,Pedra Bonita,
-42.713612,-20.597223,225,3148806,Pedra do Anta,
-45.208889,-20.258333,226,3148905,Pedra do Indaiá,
-42.154167,-20.830278,803,3149002,Pedra Dourada,
-45.465836,-22.242779,340,3149101,Pedralva,
-44.391392,-15.606668,274,3149150,Pedras de Maria da Cruz,
-47.462223,-19.227777,2385,3149200,Pedrinópolis,
-44.043056,-19.618055,147,3149309,Pedro Leopoldo,
-43.745556,-21.70639,102,3149408,Pedro Teixeira,
-43.120552,-21.834167,303,3149507,Pequeri,
-44.65889,-19.632778,209,3149606,Pequi,
-45.084164,-19.952778,805,3149705,Perdigão,
-47.292778,-19.352777,863,3149804,Perdizes,
-45.091389,-21.090834,531,3149903,Perdões,
-42.233612,-19.157499,240,3149952,Periquito,
-41.598053,-18.356945,89,3150000,Pescador,
-43.322777,-21.509445,259,3150109,Piau,
-42.075832,-19.759445,181,3150158,Piedade de Caratinga,
-42.734165,-20.245277,253,3150208,Piedade de Ponte Nova,
-44.196114,-21.468611,291,3150307,Piedade do Rio Grande,
-44.227222,-20.471111,311,3150406,Piedade dos Gerais,
-45.798889,-20.483889,308,3150505,Pimenta,
-42.408058,-19.727501,191,3150539,Pingo-d'Água,
-45.155556,-16.058887,351,3150570,Pintópolis,
-44.482502,-20.507778,180,3150604,Piracema,
-48.700558,-19.906944,1020,3150703,Pirajuba,
-43.300278,-20.684721,137,3150802,Piranga,
-45.495277,-22.527777,399,3150901,Piranguçu,
-45.531666,-22.401112,243,3151008,Piranguinho,
